"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 14:15:11 GMT 2021","Sun Aug 15 14:15:15 GMT 2021","4375","SHAFT: Custom Suite","SHAFT: Custom Test","tests.api.task.CatFact","tests.api.task.CatFact","testCatFactResponse","TC001 - Check text is not empty ","Check that text in the response body is not empty in the random fact"
"failed","Sun Aug 15 14:15:33 GMT 2021","Sun Aug 15 14:15:35 GMT 2021","2364","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestSearchResults","tests.gui.task.TestSearchResults","seaerchForQueryAndAssertThirdResultText","TC001 - Check third search result text","Check that third search result have the correct text"
"failed","Sun Aug 15 14:15:30 GMT 2021","Sun Aug 15 14:15:31 GMT 2021","941","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestHerokuapp","tests.gui.task.TestHerokuapp","testFileUpload","TC002 - Check file upload","Check that file uploaded successfully"
"passed","Sun Aug 15 14:15:15 GMT 2021","Sun Aug 15 14:15:16 GMT 2021","660","SHAFT: Custom Suite","SHAFT: Custom Test","tests.api.task.CatFact","tests.api.task.CatFact","testCatFactResponse1","TC001 - Check text is not empty ","Check that text in the response body is not empty in the random fact"
"passed","Sun Aug 15 14:15:20 GMT 2021","Sun Aug 15 14:15:27 GMT 2021","7148","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestHerokuapp","tests.gui.task.TestHerokuapp","testDynamicLoading","TC003 - Check dynamic loading Example2","Check that loading working successfully"
