"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 02:00:25 GMT 2021","Sun Aug 15 02:00:32 GMT 2021","7357","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestHerokuapp","tests.gui.task.TestHerokuapp","testDynamicLoading","TC003 - Check dynamic loading Example2","Check that loading working successfully"
"passed","Sun Aug 15 02:00:20 GMT 2021","Sun Aug 15 02:00:21 GMT 2021","762","SHAFT: Custom Suite","SHAFT: Custom Test","tests.api.task.CatFact","tests.api.task.CatFact","testCatFactResponse1","TC001 - Check text is not empty ","Check that text in the response body is not empty in the random fact"
"failed","Sun Aug 15 02:00:35 GMT 2021","Sun Aug 15 02:00:36 GMT 2021","1026","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestHerokuapp","tests.gui.task.TestHerokuapp","testFileUpload","TC002 - Check file upload","Check that file uploaded successfully"
"failed","Sun Aug 15 02:00:39 GMT 2021","Sun Aug 15 02:00:41 GMT 2021","2707","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestSearchResults","tests.gui.task.TestSearchResults","seaerchForQueryAndAssertThirdResultText","TC001 - Check third search result text","Check that third search result have the correct text"
"passed","Sun Aug 15 02:00:16 GMT 2021","Sun Aug 15 02:00:20 GMT 2021","4329","SHAFT: Custom Suite","SHAFT: Custom Test","tests.api.task.CatFact","tests.api.task.CatFact","testCatFactResponse","TC001 - Check text is not empty ","Check that text in the response body is not empty in the random fact"
