"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 15 01:19:55 GMT 2021","Sun Aug 15 01:19:57 GMT 2021","2500","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestSearchResults","tests.gui.task.TestSearchResults","seaerchForQueryAndAssertThirdResultText","TC001 - Check third search result text","Check that third search result have the correct text"
"failed","Sun Aug 15 01:19:51 GMT 2021","Sun Aug 15 01:19:52 GMT 2021","1140","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestHerokuapp","tests.gui.task.TestHerokuapp","testFileUpload","TC002 - Check file upload","Check that file uploaded successfully"
"passed","Sun Aug 15 01:19:41 GMT 2021","Sun Aug 15 01:19:48 GMT 2021","7424","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestHerokuapp","tests.gui.task.TestHerokuapp","testDynamicLoading","TC003 - Check dynamic loading Example2","Check that loading working successfully"
"passed","Sun Aug 15 01:19:31 GMT 2021","Sun Aug 15 01:19:36 GMT 2021","5142","SHAFT: Custom Suite","SHAFT: Custom Test","tests.api.task.CatFact","tests.api.task.CatFact","testCatFactResponse","TC001 - Check text is not empty ","Check that text in the response body is not empty in the random fact"
"passed","Sun Aug 15 01:19:36 GMT 2021","Sun Aug 15 01:19:37 GMT 2021","626","SHAFT: Custom Suite","SHAFT: Custom Test","tests.api.task.CatFact","tests.api.task.CatFact","testCatFactResponse1","TC001 - Check text is not empty ","Check that text in the response body is not empty in the random fact"
