"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 16 07:35:50 GMT 2021","Mon Aug 16 07:35:51 GMT 2021","729","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestHerokuapp","tests.gui.task.TestHerokuapp","testFileUpload","TC002 - Check file upload","Check that file uploaded successfully"
"passed","Sat May 23 04:30:18 GMT 2020","Sat May 23 04:30:25 GMT 2020","6467","SHAFT_Engine: Sample Test Suite","SHAFT_Engine: Cat Facts API Test","tests.api.task.CatFact","tests.api.task.CatFact","testCatFactResponse","TC001 - Check text is not empty ","Check that text in the response body is not empty in the random fact"
"failed","Sat May 23 04:30:37 GMT 2020","Sat May 23 04:30:46 GMT 2020","9087","SHAFT_Engine: Sample Test Suite","SHAFT_Engine: GUI Test","tests.gui.task.TestSearchResults","tests.gui.task.TestSearchResults","seaerchForQueryAndAssertThirdResultText","TC001 - Check third search result text","Check that third search result have the correct text"
"passed","Mon Aug 16 07:35:41 GMT 2021","Mon Aug 16 07:35:48 GMT 2021","7068","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestHerokuapp","tests.gui.task.TestHerokuapp","testDynamicLoading","TC003 - Check dynamic loading Example2","Check that loading working successfully"
