"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 16 04:50:14 GMT 2021","Mon Aug 16 04:50:16 GMT 2021","2321","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestSearchResults","tests.gui.task.TestSearchResults","seaerchForQueryAndAssertThirdResultText","TC001 - Check third search result text","Check that third search result have the correct text"
"passed","Sat May 23 04:30:18 GMT 2020","Sat May 23 04:30:25 GMT 2020","6467","SHAFT_Engine: Sample Test Suite","SHAFT_Engine: Cat Facts API Test","tests.api.task.CatFact","tests.api.task.CatFact","testCatFactResponse","TC001 - Check text is not empty ","Check that text in the response body is not empty in the random fact"
"failed","Mon Aug 16 04:50:11 GMT 2021","Mon Aug 16 04:50:12 GMT 2021","837","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestHerokuapp","tests.gui.task.TestHerokuapp","testFileUpload","TC002 - Check file upload","Check that file uploaded successfully"
"passed","Mon Aug 16 04:50:02 GMT 2021","Mon Aug 16 04:50:09 GMT 2021","7165","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestHerokuapp","tests.gui.task.TestHerokuapp","testDynamicLoading","TC003 - Check dynamic loading Example2","Check that loading working successfully"
