"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 15 01:28:48 GMT 2021","Sun Aug 15 01:28:50 GMT 2021","1958","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestSearchResults","tests.gui.task.TestSearchResults","seaerchForQueryAndAssertThirdResultText","TC001 - Check third search result text","Check that third search result have the correct text"
"passed","Sun Aug 15 01:28:27 GMT 2021","Sun Aug 15 01:28:31 GMT 2021","3960","SHAFT: Custom Suite","SHAFT: Custom Test","tests.api.task.CatFact","tests.api.task.CatFact","testCatFactResponse","TC001 - Check text is not empty ","Check that text in the response body is not empty in the random fact"
"failed","Sun Aug 15 01:28:45 GMT 2021","Sun Aug 15 01:28:46 GMT 2021","955","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestHerokuapp","tests.gui.task.TestHerokuapp","testFileUpload","TC002 - Check file upload","Check that file uploaded successfully"
"passed","Sun Aug 15 01:28:31 GMT 2021","Sun Aug 15 01:28:32 GMT 2021","615","SHAFT: Custom Suite","SHAFT: Custom Test","tests.api.task.CatFact","tests.api.task.CatFact","testCatFactResponse1","TC001 - Check text is not empty ","Check that text in the response body is not empty in the random fact"
"passed","Sun Aug 15 01:28:36 GMT 2021","Sun Aug 15 01:28:43 GMT 2021","7242","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestHerokuapp","tests.gui.task.TestHerokuapp","testDynamicLoading","TC003 - Check dynamic loading Example2","Check that loading working successfully"
