"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 16 04:57:44 GMT 2021","Mon Aug 16 04:58:42 GMT 2021","58865","SHAFT: Custom Suite","SHAFT: Custom Test","tests.api.task.CatFact","tests.api.task.CatFact","testCatFactResponse","TC001 - Check text is not empty ","Check that text in the response body is not empty in the random fact"
"passed","Mon Aug 16 04:59:42 GMT 2021","Mon Aug 16 04:59:50 GMT 2021","7397","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestHerokuapp","tests.gui.task.TestHerokuapp","testDynamicLoading","TC003 - Check dynamic loading Example2","Check that loading working successfully"
"failed","Mon Aug 16 04:59:53 GMT 2021","Mon Aug 16 04:59:54 GMT 2021","1032","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestHerokuapp","tests.gui.task.TestHerokuapp","testFileUpload","TC002 - Check file upload","Check that file uploaded successfully"
"failed","Mon Aug 16 04:58:43 GMT 2021","Mon Aug 16 04:59:38 GMT 2021","55424","SHAFT: Custom Suite","SHAFT: Custom Test","tests.api.task.CatFact","tests.api.task.CatFact","testCatFactResponse1","TC001 - Check text is not empty ","Check that text in the response body is not empty in the random fact"
"failed","Mon Aug 16 04:59:56 GMT 2021","Mon Aug 16 04:59:59 GMT 2021","2491","SHAFT: Custom Suite","SHAFT: Custom Test","tests.gui.task.TestSearchResults","tests.gui.task.TestSearchResults","seaerchForQueryAndAssertThirdResultText","TC001 - Check third search result text","Check that third search result have the correct text"
